doc_id,chapter,span_id,transition_type,anchor_time,anchor_place,anchor_strength,mode_perception,mode_inner_speech,mode_memory,mode_imagination,mode_reasoning,mode_emotion,mode_dialogue,mode_quotation,cause_sensory,cause_memory,cause_emotion_drive,cause_linguistic,cause_social,cause_physio,cause_intertext,cause_goal_task,place_0,place_1,place_2,place_3,myth_0,myth_1,myth_2,myth_3,style_syntax_break,style_ellipsis,style_intertext_density,style_language_shift,style_phonetic_play,evidence_en,evidence_ja
ulysses_ep01_v1,1,1,intrusion,now,here,0.8,0.75,0.05,0.0,0.0,0.05,0.05,0.05,0.05,0.7,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.45,0.1,0.08,0.05,0.05,0.05,0.1,0.0,0.0,0.0,0.0,Buck Mulligan came from the stairhead,視覚描写（人物の出現）による開始。
ulysses_ep01_v1,1,2,script_switch,now,here,0.7,0.05,0.05,0.0,0.0,0.0,0.0,0.15,0.75,0.0,0.0,0.0,0.3,0.1,0.0,0.6,0.0,0.05,0.0,0.2,0.75,0.05,0.05,0.08,0.05,0.2,0.0,0.85,0.9,0.05,Introibo ad altare Dei,非英語（ラテン語）での引用/唱和。
ulysses_ep01_v1,1,3,intrusion,now,here,0.8,0.05,0.0,0.0,0.0,0.0,0.1,0.85,0.0,0.0,0.0,0.2,0.2,0.6,0.0,0.0,0.0,0.1,0.15,0.35,0.1,0.05,0.05,0.05,0.05,0.15,0.0,0.0,0.0,0.05,"Come up, Kinch! Come up",命令形の呼びかけで会話モードへ。
ulysses_ep01_v1,1,4,contrast,now,here,0.85,0.6,0.1,0.0,0.0,0.1,0.2,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.1,0.0,0.55,0.1,0.06,0.05,0.05,0.06,0.1,0.0,0.0,0.0,0.0,displeased and sleepy,「sleepy」等の生理・感情語で内的状態。
ulysses_ep01_v1,1,5,script_switch,now,here,0.75,0.05,0.05,0.0,0.0,0.05,0.05,0.25,0.55,0.0,0.0,0.0,0.3,0.2,0.0,0.5,0.0,0.05,0.1,0.35,0.6,0.05,0.05,0.08,0.05,0.15,0.0,0.65,0.25,0.05,O dearly beloved,説教的定型句で文体が切替。
ulysses_ep01_v1,1,6,semantic_association,now,here,0.9,0.25,0.0,0.0,0.0,0.05,0.1,0.6,0.0,0.5,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.85,0.0,0.2,0.05,0.1,0.05,0.05,0.05,0.1,0.0,0.05,0.0,0.1,isn’t the sea,「sea」への注意移動（外界）＋語り口の比喩。
ulysses_ep01_v1,1,7,intrusion,now,here,0.7,0.0,0.0,0.0,0.0,0.1,0.15,0.7,0.05,0.0,0.2,0.3,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.25,0.1,0.08,0.08,0.05,0.08,0.1,0.0,0.0,0.0,0.0,thinks you killed your mother,「killed your mother」など対人・感情負荷の高い発話。
ulysses_ep01_v1,1,8,contrast,now,here,0.75,0.0,0.05,0.0,0.0,0.15,0.25,0.55,0.0,0.0,0.2,0.5,0.0,0.3,0.0,0.0,0.0,0.4,0.0,0.2,0.1,0.06,0.06,0.05,0.08,0.1,0.0,0.0,0.0,0.0,Stephen said gloomily,短文応答＋「gloomily」で情動主導。
ulysses_ep01_v1,1,9,rumination,past,mixed,0.6,0.05,0.05,0.55,0.2,0.0,0.15,0.0,0.0,0.1,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.2,0.08,0.06,0.05,0.08,0.1,0.0,0.0,0.0,0.0,in a dream she had come,「dream」「after her death」で記憶・想起へ。
ulysses_ep01_v1,1,10,intrusion,now,here,0.7,0.2,0.6,0.0,0.0,0.15,0.05,0.0,0.0,0.0,0.1,0.3,0.3,0.0,0.3,0.0,0.0,0.2,0.0,0.3,0.05,0.05,0.05,0.05,0.08,0.65,0.0,0.0,0.0,0.05,As he and others see me,断片文＋自己参照で内言/知覚が混在。
